Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770622095,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622096,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622097,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622098,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622100,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622101,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622102,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622103,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622104,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622105,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622106,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622107,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622108,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
